company_id,sic_code,regional_folder,quality_flag,n_pages,company_text_length,hash_algorithm,sha256_document_hash,text_shared_in_repository,crawl_date
RMCT_COMP_0001,20110,Chemicals___Materials,usable,1,1210,SHA-256,51c847ea09f977ec5e709906fec17e98f6b044f1153822a0a3a0b37648c22475,False,not_publicly_released_in_current_extract
RMCT_COMP_0002,20110,Chemicals___Materials,usable_rich,1,3151,SHA-256,3408b0d5cd013d23283a5933219f43cd747c44e03070895b21e29ebcdb2ca6f5,False,not_publicly_released_in_current_extract
RMCT_COMP_0003,20110,Chemicals___Materials,usable_rich,1,4758,SHA-256,8da5dc9de79afc0cf9d598a35353e3d7b5f2105d38f71bbcd95810b0ec739091,False,not_publicly_released_in_current_extract
RMCT_COMP_0004,20110,Chemicals___Materials,short_but_usable,1,708,SHA-256,b4d8af455d5460a1bbfd5c7693ecf46534bcb8642db617816c00527d433e923b,False,not_publicly_released_in_current_extract
RMCT_COMP_0005,20130,Chemicals___Materials,short_but_usable,1,845,SHA-256,852fab5b691a5c0bdb59edc7d7b4f0a87d255bed5a166dc497d507568abbd63c,False,not_publicly_released_in_current_extract
RMCT_COMP_0006,20130,Chemicals___Materials,usable,1,1205,SHA-256,4cd1c0187b7bc6117923146a060de689afdd88ac0b9586be8a6f2c41b6bf0b7f,False,not_publicly_released_in_current_extract
RMCT_COMP_0007,20140,Chemicals___Materials,usable_rich,1,3203,SHA-256,bc3d4f49c9917aa53208ff33aca7a2343cc85be2431aa2c5465102b0ff49cca0,False,not_publicly_released_in_current_extract
RMCT_COMP_0008,20590,Chemicals___Materials,usable,1,1776,SHA-256,69ea281ea80b65ed70e70a966fb0f1fbd2c4f2af38502bd66d21131f22d23153,False,not_publicly_released_in_current_extract
RMCT_COMP_0009,20590,Chemicals___Materials,usable_rich,1,17320,SHA-256,a9f949c838103e069d83a7d7e5052806f31cc639b589cf39c36423e68b30ca13,False,not_publicly_released_in_current_extract
RMCT_COMP_0010,20590,Chemicals___Materials,usable_rich,1,6596,SHA-256,8a20343bda6520e03b7beacb3604dd25f19d04d14e1adb7900de1341e3ad2e31,False,not_publicly_released_in_current_extract
RMCT_COMP_0011,20590,Chemicals___Materials,usable_rich,1,4628,SHA-256,435c0c2869664735600ebb487a3e73caff55d9cf238e18c115b2227ab5c7a5d2,False,not_publicly_released_in_current_extract
RMCT_COMP_0012,20590,Chemicals___Materials,usable_rich,1,5878,SHA-256,9fed785b6788a057354ed61883e5323676333f1a03cb7fed13d7af715a9b9be6,False,not_publicly_released_in_current_extract
RMCT_COMP_0013,20590,Chemicals___Materials,usable_rich,1,18646,SHA-256,8e6ba9993f2ddd0feb15899520f386927c2ea64d73adf697ca0414bac4ad490e,False,not_publicly_released_in_current_extract
RMCT_COMP_0014,20590,Chemicals___Materials,usable_rich,1,8302,SHA-256,cd0cb1e554611d080710c1bbb1d23052adeb2d710462fb4feda5b7e0d9edc4eb,False,not_publicly_released_in_current_extract
RMCT_COMP_0015,20590,Chemicals___Materials,usable,1,2204,SHA-256,88c978027438ae7e4f73d70efdd7cb5d019e05ef22671fea0d74b89ee523b0ad,False,not_publicly_released_in_current_extract
RMCT_COMP_0016,20590,Chemicals___Materials,usable_rich,1,10525,SHA-256,4656680299deb06f0afacf51157e690502b6fa23482c2601aebdc48a7ffa4b13,False,not_publicly_released_in_current_extract
RMCT_COMP_0017,20590,Chemicals___Materials,usable_rich,1,15916,SHA-256,4b4b5eb9c5c2634640ccd57ad03ad154a1ba412f890b864c51bf720aadde7447,False,not_publicly_released_in_current_extract
RMCT_COMP_0018,20590,Chemicals___Materials,usable,1,2472,SHA-256,e3c4c31290acb570523e3b334ca76d7b030500c38d8c4250c3aed1ab7add78f0,False,not_publicly_released_in_current_extract
RMCT_COMP_0019,20590,Chemicals___Materials,usable_rich,1,7334,SHA-256,2b8daa3d22969a848bd2adaf7638aa60fbd98d543a5dec48dcc2b9275bf6c91d,False,not_publicly_released_in_current_extract
RMCT_COMP_0020,20590,Chemicals___Materials,short_but_usable,1,571,SHA-256,f4f3a19c038ed30114e509bf782e0884ff91bf7ae97327f926c27c15a90094ee,False,not_publicly_released_in_current_extract
RMCT_COMP_0021,20590,Chemicals___Materials,usable_rich,1,6032,SHA-256,c554b23eabe7a7075d3e8fea117f2d3ed577415698b7c0e4fb9b0798381c11a8,False,not_publicly_released_in_current_extract
RMCT_COMP_0022,20590,Chemicals___Materials,usable_rich,1,3766,SHA-256,7fb564bb2cc4f458428fff6891713add8d63057d0babbb299d71f9b1693c97fc,False,not_publicly_released_in_current_extract
RMCT_COMP_0023,20590,Chemicals___Materials,usable_rich,1,9250,SHA-256,240012d3aed7a6c07ea8dfcc32e29564fa5f293a1ee6bea5faab3a3a80aaefdd,False,not_publicly_released_in_current_extract
RMCT_COMP_0024,20590,Chemicals___Materials,usable_rich,1,9436,SHA-256,2e0aa3e07c58ccfa014e28712027d5d7c3562bd2c71463b74f2a1fa58d75c516,False,not_publicly_released_in_current_extract
RMCT_COMP_0025,20590,Chemicals___Materials,usable_rich,1,9601,SHA-256,77dfd7acfb78f07fce2b1cf19b2e7c5b598b90b721dc318f1adc6ea789874d47,False,not_publicly_released_in_current_extract
