company_id,company_name_public,sic_code,regional_folder,website_available,website_text_status,quality_flag,n_pages,company_text_length,crawl_date
RMCT_COMP_0001,Calgaz Ltd,20110,Chemicals___Materials,True,SUCCESS,usable,1,1210,not_publicly_released_in_current_extract
RMCT_COMP_0002,Cobra Compressed Air Limited,20110,Chemicals___Materials,True,SUCCESS,usable_rich,1,3151,not_publicly_released_in_current_extract
RMCT_COMP_0003,Grant Services Worcs Limited,20110,Chemicals___Materials,True,SUCCESS,usable_rich,1,4758,not_publicly_released_in_current_extract
RMCT_COMP_0004,Midlands Air Systems Limited,20110,Chemicals___Materials,True,PARTIAL,short_but_usable,1,708,not_publicly_released_in_current_extract
RMCT_COMP_0005,Bellitas Limited,20130,Chemicals___Materials,True,PARTIAL,short_but_usable,1,845,not_publicly_released_in_current_extract
RMCT_COMP_0006,Sure Chemicals Limited,20130,Chemicals___Materials,True,SUCCESS,usable,1,1205,not_publicly_released_in_current_extract
RMCT_COMP_0007,Biotica Chemicals Ltd,20140,Chemicals___Materials,True,SUCCESS,usable_rich,1,3203,not_publicly_released_in_current_extract
RMCT_COMP_0008,Agp Innovation Limited,20590,Chemicals___Materials,True,SUCCESS,usable,1,1776,not_publicly_released_in_current_extract
RMCT_COMP_0009,Alta Bioscience Limited,20590,Chemicals___Materials,True,SUCCESS,usable_rich,1,17320,not_publicly_released_in_current_extract
RMCT_COMP_0010,Anco Catalysts Limited,20590,Chemicals___Materials,True,SUCCESS,usable_rich,1,6596,not_publicly_released_in_current_extract
RMCT_COMP_0011,Apto Gen Limited,20590,Chemicals___Materials,True,SUCCESS,usable_rich,1,4628,not_publicly_released_in_current_extract
RMCT_COMP_0012,Blue Cube Chemicals Uk Limited,20590,Chemicals___Materials,True,SUCCESS,usable_rich,1,5878,not_publicly_released_in_current_extract
RMCT_COMP_0013,Chemique Adhesives And Sealants Limited,20590,Chemicals___Materials,True,SUCCESS,usable_rich,1,18646,not_publicly_released_in_current_extract
RMCT_COMP_0014,Clent Life Science Limited,20590,Chemicals___Materials,True,SUCCESS,usable_rich,1,8302,not_publicly_released_in_current_extract
RMCT_COMP_0015,Drywite Limited,20590,Chemicals___Materials,True,SUCCESS,usable,1,2204,not_publicly_released_in_current_extract
RMCT_COMP_0016,Fosroc International Limited,20590,Chemicals___Materials,True,SUCCESS,usable_rich,1,10525,not_publicly_released_in_current_extract
RMCT_COMP_0017,Jp Metal Treatments Limited,20590,Chemicals___Materials,True,SUCCESS,usable_rich,1,15916,not_publicly_released_in_current_extract
RMCT_COMP_0018,Lea Services West Midlands Limited,20590,Chemicals___Materials,True,SUCCESS,usable,1,2472,not_publicly_released_in_current_extract
RMCT_COMP_0019,Natech Limited,20590,Chemicals___Materials,True,SUCCESS,usable_rich,1,7334,not_publicly_released_in_current_extract
RMCT_COMP_0020,Oil Inventions Limited,20590,Chemicals___Materials,True,PARTIAL,short_but_usable,1,571,not_publicly_released_in_current_extract
RMCT_COMP_0021,Sifco Applied Surface Concepts Uk Limited,20590,Chemicals___Materials,True,SUCCESS,usable_rich,1,6032,not_publicly_released_in_current_extract
RMCT_COMP_0022,Surface Technology Holdings Limited,20590,Chemicals___Materials,True,SUCCESS,usable_rich,1,3766,not_publicly_released_in_current_extract
RMCT_COMP_0023,Trimite Bid Co Limited,20590,Chemicals___Materials,True,SUCCESS,usable_rich,1,9250,not_publicly_released_in_current_extract
RMCT_COMP_0024,Trimite Global Coatings Limited,20590,Chemicals___Materials,True,SUCCESS,usable_rich,1,9436,not_publicly_released_in_current_extract
RMCT_COMP_0025,Ultraseal International Group Limited,20590,Chemicals___Materials,True,SUCCESS,usable_rich,1,9601,not_publicly_released_in_current_extract
RMCT_COMP_0026,Acetastic Ltd,24100,Primary_Metal_Production,True,PARTIAL,short_but_usable,1,414,not_publicly_released_in_current_extract
RMCT_COMP_0027,All Steel Fencing Nationwide Ltd,24100,Primary_Metal_Production,True,PARTIAL,short_but_usable,1,798,not_publicly_released_in_current_extract
RMCT_COMP_0028,All Steel Fencing Supplies Ltd,24100,Primary_Metal_Production,True,PARTIAL,short_but_usable,1,796,not_publicly_released_in_current_extract
RMCT_COMP_0029,C R F Sections Limited,24100,Primary_Metal_Production,True,PARTIAL,short_but_usable,1,313,not_publicly_released_in_current_extract
RMCT_COMP_0030,Ccr Forming Ltd,24100,Primary_Metal_Production,True,SUCCESS,usable_rich,1,4039,not_publicly_released_in_current_extract
RMCT_COMP_0031,Clydesdale Engineering Limited,24100,Primary_Metal_Production,True,SUCCESS,usable_rich,1,7729,not_publicly_released_in_current_extract
RMCT_COMP_0032,Cmt Engineering Limited,24100,Primary_Metal_Production,True,SUCCESS,usable_rich,1,3568,not_publicly_released_in_current_extract
RMCT_COMP_0033,G Tex Stainless Limited,24100,Primary_Metal_Production,True,SUCCESS,usable,1,2379,not_publicly_released_in_current_extract
RMCT_COMP_0034,Globus Metal Powders Ltd,24100,Primary_Metal_Production,True,SUCCESS,usable_rich,1,5355,not_publicly_released_in_current_extract
RMCT_COMP_0035,Kendrick Sheet Metal Limited,24100,Primary_Metal_Production,True,PARTIAL,very_short,1,297,not_publicly_released_in_current_extract
RMCT_COMP_0036,Kv Steel Services Limited,24100,Primary_Metal_Production,True,SUCCESS,usable,1,1597,not_publicly_released_in_current_extract
RMCT_COMP_0037,Liberty Onesteel Primary Uk Ltd,24100,Primary_Metal_Production,True,SUCCESS,usable_rich,1,9048,not_publicly_released_in_current_extract
RMCT_COMP_0038,Liberty Steel Dalzell Ltd,24100,Primary_Metal_Production,True,SUCCESS,usable,1,1275,not_publicly_released_in_current_extract
RMCT_COMP_0039,Osf Limited,24100,Primary_Metal_Production,True,SUCCESS,usable,1,1815,not_publicly_released_in_current_extract
RMCT_COMP_0040,Pitchford Steelstock Limited,24100,Primary_Metal_Production,True,PARTIAL,short_but_usable,1,491,not_publicly_released_in_current_extract
RMCT_COMP_0041,Steelmart International Limited,24100,Primary_Metal_Production,True,SUCCESS,usable,1,1681,not_publicly_released_in_current_extract
RMCT_COMP_0042,Superior Sections Ltd,24100,Primary_Metal_Production,True,SUCCESS,usable,1,1632,not_publicly_released_in_current_extract
RMCT_COMP_0043,United Bright Bar Co Limited,24100,Primary_Metal_Production,True,SUCCESS,usable_rich,1,3805,not_publicly_released_in_current_extract
RMCT_COMP_0044,Uss Limited,24100,Primary_Metal_Production,True,SUCCESS,usable_rich,1,6776,not_publicly_released_in_current_extract
RMCT_COMP_0045,Vdl Steelweld Uk Limited,24100,Primary_Metal_Production,True,SUCCESS,usable_rich,1,11661,not_publicly_released_in_current_extract
